Indicator,Most_Likely_Class,Max_Probability,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Prob_Class_5,Prob_Class_6,Prob_Class_7,Prob_Class_8,Prob_Class_9,Prob_Class_10,Prob_Class_11,Prob_Class_12,Prob_Class_13,Prob_Class_14,Prob_Class_15
124,14,0.09453084,0.035866868,0.030227117,0.084670715,0.0760889,0.071181156,0.05150745,0.05970299,0.06137002,0.08696617,0.07708017,0.038493484,0.030970773,0.059081327,0.08588411,0.09453084,0.056377865
125,2,0.09996371,0.06286549,0.032542817,0.09996371,0.05413225,0.09305681,0.056626897,0.07436182,0.054746196,0.053560868,0.0695391,0.055022717,0.049010795,0.08174254,0.039515045,0.036315136,0.086997755
126,10,0.10241714,0.061737906,0.057184085,0.08613638,0.06591277,0.08075711,0.025676368,0.04472336,0.040032525,0.06919646,0.06874553,0.10241714,0.07645434,0.089052856,0.032729764,0.038803227,0.060440227
127,9,0.13826452,0.045340322,0.015110793,0.094982475,0.039398175,0.07688302,0.07361725,0.06763374,0.07633052,0.12772219,0.13826452,0.03844543,0.04084294,0.07320835,0.029372953,0.03522951,0.02761774
128,12,0.09717699,0.05242033,0.05743809,0.066188864,0.059863776,0.06813513,0.03961845,0.05933864,0.08728401,0.043492854,0.042442653,0.061736945,0.05020841,0.09717699,0.07099356,0.06421794,0.07944337
129,4,0.09265961,0.055764597,0.018351562,0.08152224,0.06357489,0.09265961,0.051641643,0.058975104,0.08399702,0.05971508,0.04793142,0.041173704,0.040271048,0.054884,0.08712713,0.08439909,0.078011826
130,14,0.091039315,0.043511804,0.0373187,0.088908,0.07242258,0.04797264,0.0596587,0.04830769,0.06660245,0.043278713,0.063234985,0.05233961,0.041610766,0.080342434,0.090406835,0.091039315,0.073044814
131,3,0.09003774,0.06775264,0.04781688,0.08911398,0.09003774,0.04749553,0.048262708,0.037115503,0.049638223,0.059685424,0.067324676,0.051524322,0.041352883,0.08780287,0.07353333,0.08287818,0.058665086
132,8,0.08087278,0.07842769,0.039079003,0.07607384,0.07628775,0.035785723,0.04567635,0.041073762,0.056872398,0.08087278,0.08072032,0.054403324,0.04330515,0.07873807,0.06530247,0.074511975,0.07286938
133,7,0.109372154,0.062313393,0.06369675,0.06389994,0.047708083,0.08154768,0.048265956,0.07967683,0.109372154,0.058696017,0.05201059,0.056524433,0.034745526,0.06866317,0.03100755,0.043449752,0.098422214
134,5,0.21068148,0.010312673,0.08382209,0.0050088875,0.079665355,-0.045043692,0.21068148,0.1332249,0.12615776,0.07653022,0.07792838,0.02689581,0.003218348,0.037159637,0.13237718,0.050926294,-0.008865354
135,6,0.11259787,0.07229776,0.07547985,0.07875042,0.016511703,0.044164997,0.09863239,0.11259787,0.091011554,0.04097171,0.09630099,0.055508967,0.021669777,0.064497896,0.04852406,0.048584647,0.034495436
136,13,0.105510905,0.00834621,0.025377644,0.09715623,0.06931027,0.09746769,0.05303822,0.05732305,0.07661501,0.06922852,0.05891186,0.010696753,-0.0016792732,0.08604814,0.105510905,0.098139815,0.08850895
137,15,0.12808706,0.009072019,0.04168559,0.09337466,0.06954006,0.09630916,0.04503066,0.054372907,0.0664903,0.038894758,0.007198024,0.034721132,0.024842164,0.07677366,0.11223015,0.10137767,0.12808706
138,2,0.087767854,0.0651726,0.04339716,0.087767854,0.08679798,0.05018782,0.04570872,0.036100987,0.05278047,0.068771265,0.058315042,0.04464813,0.042679124,0.07987476,0.07151369,0.07954402,0.0867404
139,13,0.10697176,0.059346374,0.03892704,0.07264076,0.1027378,0.062250864,0.060991157,0.0492893,0.062602215,0.02771589,0.038940024,0.03784043,0.03235784,0.08000131,0.10697176,0.10068333,0.06670393
140,4,0.13743734,0.021657487,0.049459837,0.07202543,0.08262515,0.13743734,0.027952429,0.034351084,0.054974288,0.084243275,0.09803586,0.033969086,0.06366502,0.064848356,0.06004654,0.07167188,0.043036908
141,3,0.11993229,0.07649184,0.051414594,0.08441497,0.11993229,0.10551448,0.013146753,0.024305893,0.044782776,0.062115215,0.021507598,0.060228363,0.068327114,0.062150445,0.045948103,0.050588693,0.109130956
